ID,Age at admission,Gender,Governorates,Country,Previous School,Scholarship,SAT,EEE,GPA,Performance,Attempted hours,Earned hours
201103051,18,M,Beirut,Lebanon,"Lycee Franco Libanais,Verdun",Yes,1140.0,500.0,82.8,Pass,15,15
201102684,18,M,Mount Lebanon,Lebanon,"Saints Coeurs, Ain Najm ",Yes,1080.0,0.0,73.6,Pass,15,15
201102727,18,M,Beirut,Lebanon,St.Joseph Sch.Cornet Shahwan,Yes,1190.0,0.0,85.5,Pass,15,15
201102018,18,M,Beirut,Lebanon,"Hariri High School II, Beirut",Yes,1200.0,0.0,73.0,Pass,15,12
201102082,19,M,Beirut,Lebanon,"Int'l College, Ras Beirut",Yes,1430.0,0.0,77.75,Pass,12,9
201101921,19,F,Beirut,Lebanon,"Lycee Franco Libanais,Verdun",Yes,1050.0,0.0,68.8,Fail,15,15
201102016,19,M,Mount Lebanon,Lebanon,"Lycee Franco Libanais, N.Ibr",Yes,1120.0,0.0,83.25,Pass,15,15
201101952,18,F,Mount Lebanon,Lebanon,"Christian Teach.Institute,Hors",Yes,1070.0,0.0,80.2,Pass,15,15
201101915,18,F,North Lebanon,Lebanon,"Rawdat Fayhaa,Tripoli",Yes,1000.0,0.0,64.6,Fail,15,15
201102277,18,F,Beirut,Lebanon,"Batoul H.Sch/Bir Hasan,Beirut",Yes,1000.0,0.0,84.75,Pass,15,15
201102819,19,M,Mount Lebanon,Lebanon,College M.&H.Arslanian/Antelia,Yes,1290.0,0.0,85.0,Pass,15,15
201102984,19,F,Beirut,Lebanon,"Ecole N.D.des Anges, Beirut",Yes,1060.0,0.0,82.2,Pass,15,15
201102887,18,F,Mount Lebanon,Lebanon,"Sagesse St.Jean Brazila,Baabda",Yes,1120.0,0.0,77.2,Pass,15,15
201102174,18,F,Mount Lebanon,Lebanon,"Saints Coeurs, Ain Najm ",Yes,1020.0,0.0,78.0,Pass,15,15
201102141,18,F,South Lebanon,Lebanon,Al-Hussan Intl Sc /Dammam,Yes,1060.0,0.0,73.2,Pass,15,15
201101746,18,M,Beirut,Lebanon,"Col.Prot.Francais, Beirut",Yes,1190.0,0.0,69.0,Fail,15,15
201101807,18,F,Beirut,Lebanon,Beirut Baptist Sch/Mazraa,Yes,1060.0,0.0,81.8,Pass,15,15
201102178,19,F,Mount Lebanon,Lebanon,Beirut Baptist Sch/Mazraa,Yes,1150.0,0.0,81.25,Pass,15,15
201102308,18,M,Mount Lebanon,Lebanon,"GrandLyceeFrancolibanais,bey",Yes,1110.0,0.0,74.4,Pass,15,15
201102943,18,M,Mount Lebanon,Lebanon,College M.&H.Arslanian/Antelia,Yes,1290.0,0.0,67.0,Fail,15,15
201100410,18,F,Beirut,Lebanon,Al Quala' Secondary School,Yes,1050.0,0.0,80.8,Pass,15,15
201104333,20,F,Beirut,Lebanon,"Leb.American Schools,Khaldeh",Yes,900.0,0.0,77.4,Pass,15,12
201102944,19,M,Mount Lebanon,Lebanon,College M.&H.Arslanian/Antelia,Yes,1410.0,0.0,66.8,Fail,15,9
201102818,18,F,Mount Lebanon,Lebanon,College M.&H.Arslanian/Antelia,Yes,1300.0,0.0,74.6,Pass,15,15
201103573,18,F,Beirut,Lebanon,"Lycee Abdul-Kader, Beirut",Yes,1130.0,0.0,83.4,Pass,15,12
201102099,18,F,Beirut,Lebanon,The Lebanese Preparatory Sch.,Yes,1170.0,0.0,80.6,Pass,15,15
201104152,18,M,Beirut,Lebanon,"Leb Evan Sch for B&G,Louaizeh",Yes,1080.0,0.0,81.8,Pass,16,13
201102947,19,F,Beirut,Lebanon,The Lebanese Preparatory Sch.,Yes,980.0,0.0,79.0,Pass,15,12
201102810,18,F,Beirut,Lebanon,"Lycee Franco Libanais, N.Ibr",Yes,1100.0,0.0,71.8,Pass,15,15
201102811,18,M,Beirut,Lebanon,"GrandLyceeFrancolibanais,bey",Yes,1140.0,0.0,81.6,Pass,15,12
201101754,18,F,South Lebanon,Lebanon,Makassed Sec.School/Sidon,Yes,980.0,0.0,80.8,Pass,15,15
201102109,18,F,Mount Lebanon,Lebanon,"GrandLyceeFrancolibanais,bey",Yes,1050.0,0.0,75.2,Pass,15,15
201102121,18,F,South Lebanon,Lebanon,German School - Beirut,Yes,1110.0,0.0,72.8,Pass,15,15
201101673,18,M,Beirut,Lebanon,"Lycee Franco Libanais,Verdun",Yes,1190.0,0.0,72.2,Pass,12,12
201102102,18,F,Mount Lebanon,Lebanon,Al-Hussan Intl Sc /Dammam,Yes,1060.0,0.0,78.4,Pass,15,15
201103585,18,F,Beirut,Lebanon,"Lycee Abdul-Kader, Beirut",Yes,1190.0,0.0,83.2,Pass,15,15
201105723,18,F,Mount Lebanon,Lebanon,"College St. Joseph,Antoura",Yes,1050.0,0.0,66.33,Fail,15,9
201103580,18,M,Beirut,Lebanon,"Lycee Abdul-Kader, Beirut",Yes,1280.0,0.0,70.8,Pass,15,12
201102120,19,M,Mount Lebanon,Lebanon,Lycee F. L. A. De Lamartine,Yes,1300.0,0.0,89.8,Pass,15,15
201102100,18,F,Mount Lebanon,Lebanon,"GrandLyceeFrancolibanais,bey",Yes,1150.0,0.0,60.0,Fail,15,12
201101873,19,M,Beirut,Lebanon,"Hariri High School II, Beirut",Yes,1100.0,0.0,72.6,Pass,15,15
201101874,18,M,Beirut,Lebanon,"Hariri High School II, Beirut",Yes,1090.0,0.0,71.0,Pass,15,15
201101485,17,F,Beirut,Lebanon,Al-Hussan Modern Girls School,Yes,1100.0,0.0,93.0,Pass,15,15
201103458,19,M,Beirut,Lebanon,American Comm. Sc /Beirut,Yes,1180.0,0.0,78.0,Pass,15,12
201103379,18,F,Beirut,Lebanon,American Comm. Sc /Beirut,Yes,1060.0,0.0,75.75,Pass,15,0
201104713,19,F,Mount Lebanon,Lebanon,Col. Des Soeurs De St. Therese,Yes,890.0,0.0,65.8,Fail,15,9
201104513,18,F,Beirut,Lebanon,"Al Kawthar School, Beirut",Yes,1030.0,0.0,80.43,Pass,15,9
201104964,18,M,Beirut,Lebanon,Maanieh School,Yes,1020.0,0.0,51.0,Fail,15,3
201104831,18,M,Mount Lebanon,Lebanon,"Bilal Fahes Hi Sch.,Nabatieh",Yes,1140.0,0.0,78.0,Pass,15,12
201105040,18,M,Bekaa,Lebanon,"Notre Dames des Apotres,KabEli",Yes,0.0,548.0,87.4,Pass,15,15
